Additional file 19. Pathway activities calculated based on metabolome data.																											
	T0_1	T0_2	T0_3	T0_4	T0_5	T0_6	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T8_1	T8_2	T8_3	T8_4	T8_5	T8_6	T0_MEAN	T1_MEAN	T8_MEAN	T0_SD	T1_SD	T8_SD	Pvalue_T1:T0	Pvalue_T8:T0	Pvalue_T8:T1
Starch and sucrose metabolism	540,60 	1652,40 	642,60 	663,00 	999,60 	1275,00 	1458,60 	1591,20 	1581,00 	1468,80 	1519,80 	1305,60 	846,60 	642,60 	387,60 	387,60 	469,20 	438,60 	962,20 	1487,50 	528,70 	434,75 	104,70 	181,94 	0,03 	0,03 	0,00 
Sulfur metabolism	351,00 	225,00 	324,00 	198,00 	450,00 	477,00 	369,00 	441,00 	450,00 	432,00 	531,00 	612,00 	441,00 	522,00 	414,00 	504,00 	531,00 	558,00 	337,50 	472,50 	495,00 	113,66 	85,71 	55,77 	0,05 	0,03 	0,55 
Sulfur relay system	130,00 	85,00 	115,00 	95,00 	365,00 	300,00 	125,00 	175,00 	190,00 	150,00 	210,00 	285,00 	180,00 	245,00 	155,00 	200,00 	220,00 	255,00 	181,67 	189,17 	209,17 	119,65 	55,63 	38,39 	0,55 	0,31 	0,41 
Taurine and hypotaurine metabolism	440,00 	315,33 	308,00 	322,67 	652,67 	498,67 	337,33 	359,33 	396,00 	344,67 	454,67 	506,00 	322,67 	381,33 	315,33 	337,33 	381,33 	432,67 	422,89 	399,67 	361,78 	136,85 	67,65 	44,89 	0,85 	0,40 	0,28 
Thiamine metabolism	52,00 	78,00 	260,00 	104,00 	988,00 	1040,00 	26,00 	234,00 	260,00 	208,00 	494,00 	728,00 	234,00 	468,00 	156,00 	416,00 	494,00 	572,00 	420,33 	325,00 	390,00 	465,80 	247,62 	161,12 	0,99 	0,43 	0,39 
Tropane, piperidine and pyridine alkaloid biosynthesis	1224,00 	1591,20 	1169,60 	1890,40 	1101,60 	1564,00 	1060,80 	1523,20 	1659,20 	1292,00 	1482,40 	1632,00 	1700,00 	1441,60 	1400,80 	1387,20 	1604,80 	1659,20 	1423,47 	1441,60 	1532,27 	307,81 	227,73 	138,60 	0,86 	0,38 	0,41 
Tyrosine metabolism	1292,00 	1254,00 	2166,00 	1710,00 	2204,00 	1368,00 	2166,00 	2090,00 	1102,00 	1444,00 	1368,00 	1026,00 	1558,00 	1634,00 	1444,00 	1482,00 	1444,00 	1672,00 	1665,67 	1532,67 	1539,00 	433,54 	487,63 	98,36 	0,57 	0,64 	0,75 
Valine, leucine and isoleucine biosynthesis	628,67 	506,00 	490,67 	475,33 	352,67 	498,33 	575,00 	636,33 	621,00 	544,33 	544,33 	651,67 	751,33 	751,33 	621,00 	674,67 	651,67 	713,00 	491,94 	595,44 	693,83 	87,87 	47,18 	53,72 	0,04 	0,00 	0,01 
Valine, leucine and isoleucine degradation	1025,00 	676,50 	881,50 	1107,00 	635,50 	1004,50 	943,00 	1045,50 	943,00 	840,50 	820,00 	1066,00 	1250,50 	1271,00 	963,50 	1066,00 	1025,00 	1189,00 	888,33 	943,00 	1127,50 	194,34 	101,26 	127,03 	0,49 	0,04 	0,02 
Vitamin B6 metabolism	560,00 	528,00 	848,00 	560,00 	832,00 	736,00 	416,00 	480,00 	672,00 	720,00 	672,00 	768,00 	224,00 	480,00 	448,00 	640,00 	592,00 	656,00 	677,33 	621,33 	506,67 	145,83 	140,37 	162,12 	0,51 	0,12 	0,25 
beta-Alanine metabolism	728,50 	534,75 	573,50 	472,75 	550,25 	860,25 	519,25 	441,75 	519,25 	410,75 	441,75 	465,00 	674,25 	720,75 	759,50 	728,50 	720,75 	751,75 	620,00 	466,29 	725,92 	145,24 	44,50 	30,08 	0,03 	0,11 	0,00 
